iter	Passed	Remaining
786	18588	5030
787	18610	5006
788	18630	4982
789	18649	4957
790	18668	4932
791	18709	4913
792	18727	4888
793	18745	4863
794	18765	4838
795	18780	4813
796	18794	4787
797	18811	4761
798	18827	4736
799	18846	4711
800	18861	4685
801	18880	4661
802	18902	4637
803	18933	4615
804	18972	4595
805	19007	4575
806	19029	4551
807	19054	4527
808	19077	4503
809	19097	4479
810	19118	4455
811	19140	4431
812	19161	4407
813	19181	4383
814	19207	4359
815	19229	4336
816	19250	4311
817	19273	4288
818	19294	4264
819	19311	4239
820	19327	4213
821	19343	4188
822	19360	4163
823	19377	4138
824	19397	4114
825	19430	4093
826	19463	4071
827	19481	4046
828	19499	4022
829	19517	3997
830	19533	3972
831	19546	3946
832	19557	3920
833	19571	3895
834	19586	3870
835	19602	3845
836	19618	3820
837	19631	3795
838	19646	3770
839	19664	3745
840	19689	3722
841	19710	3698
842	19725	3673
843	19743	3649
844	19759	3624
845	19775	3599
846	19792	3575
847	19808	3550
848	19828	3526
849	19843	3501
850	19858	3477
851	19882	3453
852	19907	3430
853	19927	3406
854	19940	3381
855	19954	3356
856	19999	3337
857	20021	3313
858	20038	3289
859	20055	3264
860	20073	3240
861	20091	3216
862	20115	3193
863	20138	3169
864	20154	3145
865	20168	3120
866	20184	3096
867	20200	3071
868	20221	3048
869	20236	3023
870	20252	2999
871	20267	2975
872	20286	2951
873	20312	2928
874	20333	2904
875	20389	2886
876	20422	2864
877	20448	2841
878	20470	2817
879	20493	2794
880	20515	2771
881	20532	2747
882	20554	2723
883	20577	2700
884	20596	2676
885	20615	2652
886	20650	2630
887	20674	2607
888	20698	2584
889	20721	2561
890	20740	2537
891	20761	2513
892	20781	2490
893	20799	2466
894	20815	2442
895	20842	2419
896	20881	2397
897	20898	2373
898	20910	2349
899	20923	2324
900	20937	2300
901	20949	2276
902	20965	2252
903	20981	2228
904	20999	2204
905	21020	2180
906	21036	2157
907	21050	2132
908	21062	2108
909	21078	2084
910	21090	2060
911	21105	2036
912	21118	2012
913	21134	1988
914	21155	1965
915	21171	1941
916	21186	1917
917	21200	1893
918	21213	1869
919	21234	1846
920	21250	1822
921	21266	1799
922	21306	1777
923	21331	1754
924	21348	1730
925	21364	1707
926	21378	1683
927	21391	1659
928	21408	1636
929	21423	1612
930	21440	1589
931	21455	1565
932	21471	1541
933	21491	1518
934	21504	1494
935	21520	1471
936	21540	1448
937	21566	1425
938	21604	1403
939	21638	1381
940	21663	1358
941	21692	1335
942	21716	1312
943	21730	1289
944	21744	1265
945	21759	1242
946	21773	1218
947	21793	1195
948	21811	1172
949	21826	1148
950	21866	1126
951	21889	1103
952	21905	1080
953	21920	1056
954	21941	1033
955	21958	1010
956	21977	987
957	22002	964
958	22028	941
959	22053	918
960	22082	896
961	22281	880
962	22355	858
963	22433	837
964	22453	814
965	22522	792
966	22547	769
967	22571	746
968	22609	723
969	22645	700
970	22673	677
971	22691	653
972	22706	630
973	22723	606
974	22737	583
975	22753	559
976	22783	536
977	22822	513
978	22851	490
979	22872	466
980	22904	443
981	22943	420
982	22966	397
983	22991	373
984	23020	350
985	23059	327
986	23091	304
987	23136	281
988	23171	257
989	23193	234
990	23213	210
991	23230	187
992	23250	163
993	23268	140
994	23288	117
995	23322	93
996	23355	70
997	23372	46
998	23390	23
999	23419	0
